Nomos;Dimos;Onoma
ΕΒΡΟΣ;Δήμος Αλεξανδρούπολης;Δημοτική Πλάζ Αλεξ/πολης
ΕΒΡΟΣ;Δήμος Αλεξανδρούπολης;Κυανή Ακτή
ΡΟΔΟΠΗ;Δήμος Κομοτηνής;Φανάρι/Camping
ΡΟΔΟΠΗ;Δήμος Κομοτηνής;Αρωγή
ΡΟΔΟΠΗ;Δήμος Κομοτηνής;Φανάρι/Δημοτική
ΡΟΔΟΠΗ;Δήμος Κομοτηνής;Μέση
ΞΑΝΘΗ;Δήμος Τοπείρου;Μάγγανα
ΞΑΝΘΗ;Δήμος Αβδήρων;Άβδηρα/Πόρτο Μόλο
ΞΑΝΘΗ;Δήμος Αβδήρων;Μυρωδάτο
ΞΑΝΘΗ;Δήμος Αβδήρων;Μάνδρα
ΚΑΒΑΛΑ;Δήμος Θάσου;Μακρύαμμος
ΚΑΒΑΛΑ;Δήμος Θάσου;Χρυσή Αμμουδιά 2
ΚΑΒΑΛΑ;Δήμος Θάσου;Πευκάρι 2
ΚΑΒΑΛΑ;Δήμος Θάσου;Θάσος Πόλη/Λιμανάκι
ΚΑΒΑΛΑ;Δήμος Θάσου;Πρίνος / Δασύλιο 2
ΚΑΒΑΛΑ;Δήμος Νέστου;Αμμόγλωσσα/Κεραμωτή 1
ΚΑΒΑΛΑ;Δήμος Νέστου;Αμμόγλωσσα/Κεραμωτή 2
ΚΑΒΑΛΑ;Δήμος Καβάλας;Μπάτης
ΚΑΒΑΛΑ;Δήμος Καβάλας;Τόσκα
ΚΑΒΑΛΑ;Δήμος Καβάλας;Καλαμίτσα
ΚΑΒΑΛΑ;Δήμος Καβάλας;Περιγιάλλι
ΚΑΒΑΛΑ;Δήμος Παγγαίου;Αμμόλοφοι
ΚΑΒΑΛΑ;Δήμος Παγγαίου;Νέα Ηρακλείτσα
ΚΑΒΑΛΑ;Δήμος Παγγαίου;Νέα Πέραμος
ΚΑΒΑΛΑ;Δήμος Παγγαίου;Σαρακήνα
ΚΑΒΑΛΑ;Δήμος Παγγαίου;Οφρύνιο/Τούζλα
ΣΕΡΡΕΣ;Δήμος Αμφίπολης;Νέα Κερδύλλια
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Σερραϊκή
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Ασπροβάλτα
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Βρασνά
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Νέα Βρασνά
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Σταυρός Κεντρική
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Σταυρός Ανατολική
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Βόλβης;Σταυρός Δυτική
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Θερμαϊκού;Αγ. Τριάδα/ΠΙΚΠΑ
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Θερμαϊκού;Νέοι Επιβάτες
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Θερμαϊκού;Περαία
ΘΕΣΣΑΛΟΝΙΚΗ;Δήμος Θερμαϊκού;Ποταμός
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Ιερισσός/Δημοτική 1
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Ιερισσός/Δημοτική 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Ιερισσός/Δημοτική 3
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Καμπούδι 1
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Καμπούδι 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Καμπούδι 3
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Ουρανούπολη 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Ουρανούπολη 3
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Άγιος Παύλος
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Πόρτο Άγιο
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Νέα Ρόδα 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Στρατώνι
ΧΑΛΚΙΔΙΚΗ;Δήμος Αριστοτέλη;Κάμπος
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Σάρτη 1
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Συκιά
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Τορώνη
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Πλατανίτσι
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Πόρτο Καρράς 1
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Πόρτο Καρράς 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Ελιά 2
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Μακριά Λαγγάδα
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Λαγoμάνδρα
